"","X","Gene","Yap_2021","Tyssowski_2018","Hrvatin_2018","n_Yap_methods","na_sums"
"75",75,"Flnc","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"76",76,"Abra","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"77",77,"Tgif1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"78",78,"Cym","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"79",79,"Ptx3","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"80",80,"Tlr2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"81",81,"Slc4a11","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"82",82,"4930568B11Rik","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"83",83,"Blnk","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"84",84,"Il11","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"85",85,"Nfil3","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"86",86,"Cdkn1a","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs","V1 scRNAseq_PRGs",1,3
"87",87,"Tnfaip6","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_PRGs",1,2
"88",88,"Gadd45b","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,"V1 scRNAseq_PRGs",2,2
"89",89,"Serpine1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"90",90,"Gpr3","CaMK2a-Ribotag_6h post KA","in situ sustained depol_SRGs",NA,1,2
"91",91,"Egr2","CaMK2a-Ribotag_6h post KA","in situ sustained depol_rPRGs","V1 scRNAseq_PRGs (TF)",1,3
"92",92,"Crispld2","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_PRGs (sec)",1,2
"93",93,"Gdnf","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"94",94,"Ptger2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"95",95,"Gem","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs","V1 scRNAseq_PRGs",1,3
"96",96,"Nptx2","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA","in situ sustained depol_SRGs","V1 scRNAseq_SRGs (sec)",2,3
"97",97,"Npy","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_SRGs (sec)",1,2
"98",98,"Rhoj","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"99",99,"Dsc1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"100",100,"Sik1","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"101",101,"Ghsr","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"102",102,"Tsku","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"103",103,"Mlf1","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"104",104,"Nts","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO",NA,NA,2,1
"105",105,"Tnc","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"106",106,"Pdyn","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"107",107,"Pcsk1","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO","in situ sustained depol_dPRGs",NA,2,2
"108",108,"Fgl2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"109",109,"Blvrb","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"110",110,"Tac1","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"111",111,"Rgs2","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA","in situ sustained depol_dPRGs","V1 scRNAseq_PRGs",2,3
"112",112,"Rnd3","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO",NA,"V1 scRNAseq_SRGs",2,2
"113",113,"Osmr","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"114",114,"Hbegf","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"115",115,"Kif18a","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"116",116,"Bdnf","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA","in situ sustained depol_dPRGs","V1 scRNAseq_SRGs (sec)",3,3
"117",117,"Shroom3","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"118",118,"C5ar1","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_PRGs",1,2
"119",119,"Tiparp","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs","V1 scRNAseq_PRGs",1,3
"120",120,"Itga5","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"121",121,"Stc1","CaMK2a-Ribotag_6h post KA","in situ sustained depol_SRGs","V1 scRNAseq_PRGs (sec)",1,3
"122",122,"Ifrd1","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO",NA,"V1 scRNAseq_PRGs",2,2
"123",123,"Cgref1","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,3,1
"124",124,"Dgat2l6","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"125",125,"Scg2","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA","in situ sustained depol_dPRGs","V1 scRNAseq_PRGs (sec)",3,3
"126",126,"Arc","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA","in situ sustained depol_rPRGs","V1 scRNAseq_PRGs",2,3
"127",127,"Lbh","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO",NA,NA,2,1
"128",128,"Peg10","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"129",129,"Gipr","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"130",130,"Elf4","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"131",131,"Gch1","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"132",132,"Trip10","CaMK2a-Ribotag_6h post KA","in situ sustained depol_SRGs",NA,1,2
"133",133,"Dkk2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"134",134,"Gper1","CaMK2a-Ribotag_6h post KA","in situ sustained depol_SRGs",NA,1,2
"135",135,"Csrnp1","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA","in situ sustained depol_dPRGs","V1 scRNAseq_PRGs",2,3
"136",136,"Jun","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"137",137,"Igf2bp2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"138",138,"Sst","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"139",139,"Klf4","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA","in situ sustained depol_rPRGs","V1 scRNAseq_PRGs (TF)",2,3
"140",140,"Ppapdc1a","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"141",141,"Myo18b","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"142",142,"Sult2b1","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"143",143,"Lrrc32","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"144",144,"Arhgef37","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"145",145,"Srgn","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"146",146,"Sertad1","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA","in situ sustained depol_dPRGs","V1 scRNAseq_PRGs (TF)",2,3
"147",147,"Cd164l2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"148",148,"Egr4","CaMK2a-Ribotag_6h post KA","in situ sustained depol_rPRGs","V1 scRNAseq_PRGs (TF)",1,3
"149",149,"Baiap2l1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"150",150,"Sstr2","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"151",151,"Arl4d","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_PRGs",1,2
"152",152,"Trib1","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,"V1 scRNAseq_PRGs",2,2
"153",153,"Aim1l","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"154",154,"Apold1","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_PRGs",1,2
"155",155,"Crybg3","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"156",156,"Cdt1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"157",157,"Errfi1","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"158",158,"Unc5b","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"159",159,"Sap30","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"160",160,"Spata31d1b","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"161",161,"Vim","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"162",162,"Aldh1a3","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"163",163,"Spsb1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"164",164,"Fam129b","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"165",165,"Nedd9","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_PRGs",1,2
"166",166,"Nfkbiz","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"167",167,"Spp1","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_SRGs (sec)",1,2
"168",168,"Zfp36","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_PRGs (TF)",1,2
"169",169,"Klf14","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"170",170,"Fam46a","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs","V1 scRNAseq_PRGs",1,3
"171",171,"Adcyap1","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"172",172,"Fosl2","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA","in situ sustained depol_dPRGs","V1 scRNAseq_PRGs (TF)",2,3
"173",173,"Sdcbp2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"174",174,"Gpx8","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"175",175,"Pnoc","CaMK2a-Ribotag_6h post KA","in situ sustained depol_SRGs",NA,1,2
"176",176,"Lipg","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"177",177,"Nfatc1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"178",178,"Oscar","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"179",179,"Krt2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"180",180,"Etv3","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"181",181,"Hmox1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"182",182,"Gm9525","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"183",183,"Spty2d1","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"184",184,"Zfp516","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"185",185,"Fbxo47","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"186",186,"Pi15","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"187",187,"Cited2","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO",NA,"V1 scRNAseq_PRGs (TF)",2,2
"188",188,"Ccna1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"189",189,"Stk40","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA","in situ sustained depol_dPRGs","V1 scRNAseq_PRGs",2,3
"190",190,"Pappa","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"191",191,"Pawr","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"192",192,"Kdm6b","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"193",193,"Fosl1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"194",194,"Cldn26","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"195",195,"Slco5a1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"196",196,"Zdbf2","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs","V1 scRNAseq_PRGs",1,3
"197",197,"Rasgef1b","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"198",198,"Cflar","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_PRGs",1,2
"199",199,"Ptgs1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"200",200,"Bach1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"201",201,"Amigo3","CaMK2a-Ribotag_6h post KA","in situ sustained depol_rPRGs",NA,1,2
"202",202,"Flna","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"203",203,"Ednrb","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"204",204,"Rgs4","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO","in situ sustained depol_dPRGs",NA,2,2
"205",205,"Tgfbr2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"206",206,"Arhgdib","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"207",207,"Sox9","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"208",208,"Kif4","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"209",209,"Sox11","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"210",210,"Pvr","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,"V1 scRNAseq_PRGs",2,2
"211",211,"Arpp21","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,3,1
"212",212,"Btg2","CaMK2a-Ribotag_6h post KA","in situ sustained depol_rPRGs","V1 scRNAseq_PRGs",1,3
"213",213,"Rasl11a","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"214",214,"Dnajb1","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_PRGs",1,2
"215",215,"Dusp4","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"216",216,"C3ar1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"217",217,"Vegfa","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"218",218,"Prss23","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"219",219,"Srxn1","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,NA,2,1
"220",220,"Rem2","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"221",221,"Dpm3","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"222",222,"Junb","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA","in situ sustained depol_rPRGs","V1 scRNAseq_PRGs (TF)",2,3
"223",223,"Tnfrsf12a","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_PRGs",1,2
"224",224,"Sat1","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_PRGs",1,2
"225",225,"Tpbg","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,"V1 scRNAseq_SRGs",2,2
"226",226,"Gpr133","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"227",227,"Tet3","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"228",228,"Rab39","CaMK2a-Ribotag_6h post KA","in situ sustained depol_SRGs",NA,1,2
"229",229,"Cwc25","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"230",230,"Mt2","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_PRGs",1,2
"231",231,"Osgin2","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"232",232,"Fam167a","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"233",233,"Prokr2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"234",234,"Homer1","CaMK2a-Ribotag_6h post KA/CaMK2a-Fos CUT&RUN_Fos-bound in vicinity post 2-3h KA",NA,"V1 scRNAseq_PRGs",2,2
"235",235,"Plat","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO",NA,NA,2,1
"236",236,"Gjb2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"237",237,"Rai2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"238",238,"Nes","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_PRGs",1,2
"239",239,"Arhgap31","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"240",240,"Gltscr2","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs",NA,1,2
"241",241,"Crhbp","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs","V1 scRNAseq_SRGs (sec)",1,3
"242",242,"Pdlim1","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_SRGs (TF)",1,2
"243",243,"Map3k5","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO",NA,NA,2,1
"244",244,"Syt4","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO",NA,"V1 scRNAseq_PRGs",2,2
"245",245,"Gadd45a","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_PRGs",1,2
"246",246,"Sdf2l1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"247",247,"Ranbp2","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"248",248,"Ier5","CaMK2a-Ribotag_6h post KA",NA,"V1 scRNAseq_SRGs",1,2
"249",249,"Tmco5","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
"250",250,"Nr4a3","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs","V1 scRNAseq_PRGs (TF)",1,3
"251",251,"9530077C05Rik","CaMK2a-Ribotag_6h post KA/FFJ KO snRNAseq_affected by AP1 KO",NA,NA,2,1
"252",252,"Nrn1","CaMK2a-Ribotag_6h post KA","in situ sustained depol_dPRGs","V1 scRNAseq_SRGs",1,3
"253",253,"Bmp3","CaMK2a-Ribotag_6h post KA","in situ sustained depol_SRGs",NA,1,2
"254",254,"Pmepa1","CaMK2a-Ribotag_6h post KA",NA,NA,1,1
